year,zip_code,population,population_male,population_female,population_age_below_24,population_age_between_25_44,population_age_above_45,crimes_count,victims_count,victims_count_male,victims_count_female,victims_count_age_below_24,victims_count_age_between_25_44,victims_count_age_above_45,victims_count_white,victims_count_black,victims_count_hispanic,victims_count_other_races,unemployment_rate,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_below_24,unemployment_rate_age_between_25_44,unemployment_rate_age_above_45,unemployment_rate_white,unemployment_rate_black,unemployment_rate_hispanic,unemployment_rate_other_races,population_white,population_black,population_hispanic,population_other_races,cars_count,vans_count,campers_or_rvs_count,tents_count,homeless_individuals_count,median_gross_rent,median_income,median_income_male,median_income_female,median_income_age_below_24,median_income_age_between_25_44,median_income_age_above_45,median_income_white,median_income_black,median_income_hispanic,median_income_other_races,below_poverty_level_individuals_count,below_poverty_level_individuals_count_male,below_poverty_level_individuals_count_female,below_poverty_level_individuals_count_age_below_24,below_poverty_level_individuals_count_age_between_25_44,below_poverty_level_individuals_count_age_above_45,below_poverty_level_individuals_count_white,below_poverty_level_individuals_count_black,below_poverty_level_individuals_count_hispanic,below_poverty_level_individuals_count_other_races,housing_units_count,owner_occupied_housing_units_count,renter_occupied_housing_units_count
2010,90089,,,,,,,347.0,323.0,212.0,123.0,201.0,97.0,49.0,134.0,46.0,68.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90090,,,,,,,74.0,56.0,41.0,21.0,29.0,35.0,10.0,19.0,2.0,33.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90094,,,,,,,124.0,107.0,66.0,48.0,31.0,64.0,29.0,61.0,18.0,9.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90095,,,,,,,22.0,21.0,17.0,5.0,5.0,10.0,7.0,7.0,3.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90210,,,,,,,172.0,153.0,74.0,87.0,36.0,65.0,71.0,99.0,12.0,12.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90211,,,,,,,26.0,24.0,15.0,10.0,6.0,14.0,6.0,14.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90230,,,,,,,421.0,352.0,194.0,175.0,146.0,146.0,129.0,112.0,32.0,189.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90232,,,,,,,50.0,45.0,27.0,21.0,20.0,13.0,17.0,17.0,9.0,16.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90245,,,,,,,6.0,6.0,6.0,0.0,0.0,2.0,4.0,1.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
