year,zip_code,population,crimes_count,victims_count,unemployment_rate,cars_count,vans_count,campers_or_rvs_count,tents_count,homeless_individuals_count,median_gross_rent,median_income,below_poverty_level_individuals_count,housing_units_count,owner_occupied_housing_units_count,renter_occupied_housing_units_count,gender_majority,age_majority,ethnicity_majority
2013,90003,66200.0,5532.0,4590.0,16.0,24.0,43.0,46.0,18.0,344.0,1039.0,29686.0,25832.0,15989.0,4939.0,11050.0,female,age_below_24,hispanic
2013,90004,62760.0,2954.0,2476.0,14.3,21.0,24.0,10.0,1.0,103.0,1064.0,37976.0,15350.0,22861.0,3775.0,19086.0,male,age_above_45,other_races
2013,90005,39548.0,1519.0,1258.0,12.0,14.0,10.0,3.0,1.0,86.0,936.0,31893.0,10496.0,15338.0,1147.0,14191.0,male,age_between_25_44,other_races
2013,90006,59498.0,2464.0,1996.0,14.2,2.0,15.0,15.0,7.0,52.0,914.0,30961.0,18666.0,18722.0,1448.0,17274.0,male,age_below_24,other_races
2013,90007,43173.0,2639.0,2268.0,13.7,23.0,11.0,5.0,1.0,40.0,1000.0,22420.0,17031.0,11385.0,1419.0,9966.0,female,age_below_24,other_races
2013,90008,33280.0,2723.0,2487.0,16.3,11.0,10.0,20.0,1.0,132.0,1016.0,38210.0,8955.0,14035.0,4732.0,9303.0,female,age_above_45,black
2013,90010,4133.0,798.0,604.0,6.9,10.0,9.0,1.0,1.0,84.0,1633.0,51359.0,746.0,2331.0,452.0,1879.0,male,age_between_25_44,other_races
2013,90011,100882.0,4453.0,3505.0,10.5,44.0,51.0,43.0,41.0,453.0,978.0,30171.0,43450.0,22000.0,6004.0,15996.0,male,age_below_24,hispanic
2013,90012,29528.0,1636.0,1399.0,7.0,4.0,4.0,14.0,92.0,611.0,1047.0,28879.0,7566.0,9765.0,1282.0,8483.0,male,age_between_25_44,other_races
2013,90013,10256.0,2381.0,2193.0,21.3,10.0,17.0,18.0,154.0,799.0,587.0,20271.0,4809.0,5745.0,731.0,5014.0,male,age_above_45,black
2013,90014,6008.0,908.0,843.0,14.8,13.0,2.0,16.0,101.0,568.0,562.0,16551.0,2713.0,4088.0,403.0,3685.0,male,age_between_25_44,white
2013,90015,18358.0,2529.0,2141.0,13.7,12.0,19.0,16.0,94.0,611.0,841.0,27393.0,5908.0,7180.0,864.0,6316.0,male,age_between_25_44,hispanic
2013,90016,47273.0,2580.0,2325.0,12.8,6.0,19.0,30.0,3.0,96.0,1045.0,37242.0,10516.0,17060.0,6223.0,10837.0,female,age_below_24,hispanic
2013,90017,23755.0,1965.0,1705.0,8.0,3.0,11.0,8.0,14.0,235.0,824.0,21030.0,11957.0,9463.0,312.0,9151.0,male,age_between_25_44,hispanic
2013,90018,48498.0,2494.0,2145.0,15.2,6.0,19.0,16.0,3.0,71.0,966.0,32447.0,13527.0,15466.0,4705.0,10761.0,female,age_below_24,hispanic
2013,90019,65408.0,2767.0,2411.0,11.3,5.0,11.0,26.0,4.0,38.0,1120.0,42043.0,14873.0,23812.0,6488.0,17324.0,female,age_above_45,hispanic
2013,90020,39866.0,1159.0,933.0,13.5,13.0,16.0,5.0,11.0,70.0,1107.0,38510.0,7416.0,16468.0,1491.0,14977.0,female,age_between_25_44,other_races
