quarter,zip_code,tract
2010_03,90045,06037703002
2010_03,90046,06037143700
2010_03,90046,06037143800
2010_03,90046,06037143901
2010_03,90046,06037189800
2010_03,90046,06037189901
2010_03,90046,06037189902
2010_03,90046,06037190100
2010_03,90046,06037192000
2010_03,90046,06037194100
2010_03,90046,06037194200
2010_03,90046,06037194300
2010_03,90046,06037194400
2010_03,90046,06037261101
2010_03,90046,06037700100
2010_03,90046,06037700200
2010_03,90046,06037700300
2010_03,90047,06037232500
2010_03,90047,06037234700
2010_03,90047,06037234800
2010_03,90047,06037235201
2010_03,90047,06037237200
2010_03,90047,06037237300
2010_03,90047,06037237400
2010_03,90047,06037237800
2010_03,90047,06037237900
2010_03,90047,06037238000
2010_03,90047,06037238100
2010_03,90047,06037238200
2010_03,90047,06037238400
2010_03,90047,06037600201
2010_03,90047,06037600202
2010_03,90047,06037600302
2010_03,90047,06037600400
2010_03,90047,06037600601
2010_03,90047,06037602700
2010_03,90047,06037602800
2010_03,90048,06037194400
2010_03,90048,06037194500
2010_03,90048,06037214600
2010_03,90048,06037214700
2010_03,90048,06037214800
2010_03,90048,06037214900
2010_03,90048,06037216300
2010_03,90048,06037216800
2010_03,90048,06037700400
2010_03,90048,06037700800
2010_03,90049,06037139702
2010_03,90049,06037141500
2010_03,90049,06037141600
2010_03,90049,06037262200
2010_03,90049,06037262301
2010_03,90049,06037262302
2010_03,90049,06037262303
2010_03,90049,06037262400
2010_03,90049,06037262800
2010_03,90049,06037264000
2010_03,90049,06037264101
2010_03,90049,06037264301
2010_03,90049,06037264302
2010_03,90049,06037265410
2010_03,90049,06037265420
2010_03,90049,06037267402
2010_03,90049,06037701100
2010_03,90049,06037701601
2010_03,90056,06037235100
2010_03,90056,06037236000
2010_03,90056,06037276100
2010_03,90056,06037601301
2010_03,90056,06037703001
2010_03,90056,06037703002
2010_03,90056,06037703100
2010_03,90057,06037208400
2010_03,90057,06037208500
2010_03,90057,06037208610
2010_03,90057,06037208620
2010_03,90057,06037208710
