tract,total cars,total vans,total campers or rvs,total tents,total homeless individuals
222001,0,0,0,0,0
222002,0,0,0,0,3
222100,0,0,3,0,5
222200,1,0,1,0,3
222500,4,8,5,0,32
222600,0,0,0,0,1
222700,0,0,0,0,2
224010,0,0,0,9,72
224020,0,0,6,12,75
224200,4,3,1,7,54
224310,0,0,1,0,6
224320,1,0,2,0,13
224410,0,0,0,11,18
224420,0,0,0,0,1
224600,1,1,10,7,102
224700,0,0,1,0,4
226001,0,2,13,35,124
226002,8,2,6,141,571
226410,0,0,0,0,16
226420,0,1,0,0,9
226700,0,3,2,0,15
227010,1,1,3,1,19
227020,3,4,2,0,18
228100,6,4,10,2,54
228210,0,2,1,0,11
228220,0,0,2,0,11
228310,0,0,3,0,6
228320,0,3,3,3,23
228410,0,3,3,0,13
228420,0,0,0,1,9
228500,1,1,3,0,24
228600,3,3,1,0,40
228710,6,3,1,1,35
228720,3,7,5,0,28
228800,2,4,5,0,52
228900,2,1,6,3,39
229100,7,2,2,2,23
229200,1,1,2,2,36
229300,0,1,3,2,33
229410,2,1,5,3,28
229420,0,0,2,1,13
231100,2,0,11,52,419
231210,0,1,2,0,5
231220,0,0,0,0,10
231300,2,0,2,0,10
231400,0,1,0,1,17
231500,0,0,0,0,0
231600,0,1,3,0,20
231710,2,1,2,9,50
231720,17,3,6,7,110
231800,0,1,1,5,23
231900,1,3,5,28,95
232110,0,0,2,1,9
232120,1,2,4,10,66
232200,3,0,3,0,24
232300,12,10,15,6,92
232400,16,1,7,0,146
232500,17,0,4,0,172
232600,0,8,13,4,63
232700,1,1,0,0,29
232800,0,0,12,14,69
234000,2,0,6,0,22
234200,0,3,4,0,46
234300,0,2,10,2,37
234501,0,2,3,1,10
234502,1,1,3,0,37
234600,3,1,4,2,36
234700,0,4,5,0,18
234800,0,1,3,1,10
234901,0,0,1,0,3
234902,1,1,4,0,11
235100,0,2,4,0,12
235201,0,1,1,0,7
235202,0,3,9,0,25
236000,1,0,2,0,10
236100,1,2,1,0,17
236202,4,0,0,0,9
236203,17,2,0,0,47
236204,0,4,0,0,7
236400,0,0,1,0,3
237101,0,1,1,0,6
237102,1,2,3,0,16
237201,1,1,4,1,42
237202,7,3,9,5,49
237300,3,7,10,0,36
237401,2,6,2,0,17
237402,1,0,12,2,28
237500,0,2,0,0,4
237600,0,2,2,0,13
237710,0,3,3,0,13
237720,1,3,1,0,10
237800,0,0,5,0,9
237900,1,1,1,0,8
238000,6,2,2,0,26
238100,0,0,0,0,141
238200,1,1,3,0,15
238310,3,0,2,0,30
238320,1,4,3,0,35
238400,1,0,6,0,18
239201,10,2,4,3,106
239202,3,5,19,3,172
239310,0,0,11,0,27
239320,0,0,1,0,2
239330,0,2,28,2,58
239501,2,1,1,1,22
239502,0,0,7,1,31
239601,1,1,1,0,29
239602,0,0,0,0,0
239701,1,0,3,0,31
239702,2,0,2,6,73
239801,0,0,1,0,24
239802,0,0,1,0,5
240010,0,0,0,0,9
240020,5,2,0,0,25
240200,6,3,11,2,370
240300,1,0,5,0,39
240401,0,0,5,1,19
240402,0,1,2,0,11
240500,0,0,3,0,27
240600,1,0,3,0,22
240700,4,0,0,2,21
240800,2,3,1,0,16
240900,0,9,6,0,31
241001,0,1,2,0,9
241002,4,0,2,0,18
241110,3,1,0,0,16
