year,zip_code,below_poverty_level_individuals_count,below_poverty_level_individuals_count_male,below_poverty_level_individuals_count_female,below_poverty_level_individuals_count_age_below_24,below_poverty_level_individuals_count_age_between_25_44,below_poverty_level_individuals_count_age_above_45,below_poverty_level_individuals_count_white,below_poverty_level_individuals_count_black,below_poverty_level_individuals_count_hispanic,below_poverty_level_individuals_count_other_races
2013,90024,12631.0,5752.0,6879.0,154.0,12032.0,445.0,6290.0,357.0,1131.0,5984.0
2013,90025,5390.0,2451.0,2939.0,678.0,4447.0,265.0,2981.0,106.0,1095.0,2303.0
2013,90026,15990.0,7600.0,8390.0,4951.0,9820.0,1219.0,9923.0,877.0,11673.0,5190.0
2013,90027,8620.0,3840.0,4780.0,1244.0,5776.0,1600.0,5817.0,250.0,2513.0,2553.0
2013,90028,8078.0,4177.0,3901.0,1043.0,5951.0,1084.0,4257.0,555.0,2931.0,3266.0
2013,90029,10456.0,5172.0,5284.0,3244.0,6416.0,796.0,3669.0,471.0,7507.0,6316.0
2013,90031,13052.0,6070.0,6982.0,4825.0,7149.0,1078.0,3816.0,239.0,9311.0,8997.0
2013,90032,9232.0,4004.0,5228.0,3522.0,5037.0,673.0,4907.0,150.0,8195.0,4175.0
2013,90033,16813.0,7643.0,9170.0,6620.0,9109.0,1084.0,8771.0,210.0,15571.0,7832.0
2013,90034,10277.0,4646.0,5631.0,1997.0,7805.0,475.0,6234.0,765.0,3965.0,3278.0
2013,90035,2748.0,1069.0,1679.0,278.0,1864.0,606.0,1950.0,374.0,213.0,424.0
2013,90036,4825.0,2157.0,2668.0,589.0,3816.0,420.0,3140.0,322.0,673.0,1363.0
2013,90037,25066.0,11579.0,13487.0,10154.0,13814.0,1098.0,3736.0,5044.0,19152.0,16286.0
2013,90038,8307.0,4095.0,4212.0,2387.0,5383.0,537.0,2829.0,607.0,5556.0,4871.0
2013,90039,3570.0,1918.0,1652.0,763.0,2398.0,409.0,2294.0,51.0,2077.0,1225.0
2013,90041,3207.0,1390.0,1817.0,644.0,2339.0,224.0,1969.0,100.0,1492.0,1138.0
2013,90042,11328.0,5128.0,6200.0,3779.0,6789.0,760.0,5620.0,320.0,9171.0,5388.0
2013,90043,9442.0,3894.0,5548.0,2815.0,5716.0,911.0,1294.0,5377.0,3419.0,2771.0
2013,90044,29992.0,12784.0,17208.0,12534.0,15849.0,1609.0,7013.0,9985.0,19026.0,12994.0
2013,90045,4327.0,1757.0,2570.0,698.0,3394.0,235.0,2420.0,980.0,551.0,927.0
2013,90046,8229.0,3698.0,4531.0,565.0,5719.0,1945.0,6488.0,400.0,1146.0,1341.0
2013,90047,9962.0,4221.0,5741.0,3515.0,5559.0,888.0,1433.0,7100.0,2697.0,1429.0
2013,90048,1956.0,696.0,1260.0,164.0,1523.0,269.0,1588.0,8.0,190.0,360.0
2013,90049,2261.0,856.0,1405.0,206.0,1762.0,293.0,1857.0,25.0,203.0,379.0
2013,90056,454.0,122.0,332.0,143.0,204.0,107.0,17.0,362.0,30.0,75.0
2013,90057,16580.0,8108.0,8472.0,6014.0,9398.0,1168.0,4384.0,1026.0,13039.0,11170.0
2013,90058,1716.0,882.0,834.0,875.0,778.0,63.0,617.0,107.0,1630.0,992.0
2013,90059,14988.0,6663.0,8325.0,7184.0,7353.0,451.0,6134.0,4906.0,9801.0,3948.0
2013,90061,9115.0,3959.0,5156.0,4017.0,4764.0,334.0,3376.0,2999.0,6062.0,2740.0
2013,90062,8859.0,3921.0,4938.0,3022.0,5212.0,625.0,1294.0,3081.0,5519.0,4484.0
2013,90063,14411.0,6637.0,7774.0,5809.0,7476.0,1126.0,5519.0,73.0,14022.0,8819.0
2013,90064,2539.0,1234.0,1305.0,462.0,1751.0,326.0,1612.0,44.0,670.0,883.0
2013,90065,8970.0,4089.0,4881.0,3030.0,4966.0,974.0,3668.0,132.0,7154.0,5170.0
2013,90066,6494.0,3240.0,3254.0,1423.0,4556.0,515.0,3171.0,738.0,2932.0,2585.0
2013,90067,175.0,47.0,128.0,25.0,51.0,99.0,149.0,0.0,9.0,26.0
2013,90068,2309.0,1390.0,919.0,136.0,1988.0,185.0,1658.0,53.0,317.0,598.0
2013,90069,2534.0,1228.0,1306.0,235.0,1909.0,390.0,2006.0,169.0,322.0,359.0
2013,90071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,90073,426.0,367.0,59.0,0.0,412.0,14.0,140.0,232.0,74.0,54.0
2013,90077,274.0,82.0,192.0,73.0,161.0,40.0,240.0,9.0,22.0,25.0
2013,90079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,90089,39.0,16.0,23.0,0.0,39.0,0.0,11.0,0.0,0.0,28.0
2013,90090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,90094,449.0,172.0,277.0,0.0,407.0,42.0,165.0,81.0,89.0,203.0
2013,90095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,90210,1599.0,648.0,951.0,254.0,881.0,464.0,1405.0,41.0,138.0,153.0
2013,90211,904.0,454.0,450.0,125.0,589.0,190.0,861.0,18.0,6.0,25.0
