year,zip_code,unemployment_rate,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_below_24,unemployment_rate_age_between_25_44,unemployment_rate_age_above_45,unemployment_rate_white,unemployment_rate_black,unemployment_rate_hispanic,unemployment_rate_other_races
2011,91423,9.1,10.1,6.8,65.8,8.7,48.7,9.2,10.2,10.2,276.1
2011,91436,6.9,6.0,7.6,42.4,6.4,16.7,6.6,67.9,6.1,132.2
2011,91501,8.9,11.0,6.1,38.3,10.1,14.2,10.8,6.0,8.6,266.6
2011,91504,6.0,7.0,3.8,33.900000000000006,6.4,12.100000000000001,6.6,15.0,9.1,180.79999999999998
2011,91505,7.9,7.6,6.7,54.9,5.5,47.2,8.4,6.7,9.3,283.1
2011,91506,7.4,7.2,7.9,21.0,5.9,22.8,8.5,9.0,5.6,155.8
2011,91601,11.2,10.9,9.8,51.5,9.5,81.5,11.2,15.0,10.9,323.6
2011,91602,12.5,12.4,11.4,94.9,10.9,43.900000000000006,14.1,9.4,11.8,209.6
2011,91604,9.8,7.8,11.2,44.1,8.9,55.1,9.9,11.0,7.9,210.10000000000002
2011,91605,12.4,11.2,12.6,43.599999999999994,11.6,32.8,13.7,11.6,12.1,284.1
2011,91606,12.5,11.0,11.7,55.5,10.9,46.5,12.4,19.0,11.9,295.70000000000005
2011,91607,12.5,12.4,12.2,13.8,13.4,64.3,11.9,17.4,9.2,282.3
2011,91608,,,,,,,,,,
2011,91754,7.9,8.6,5.7,64.4,6.8,21.6,11.5,0.0,8.9,218.7
2011,91801,7.8,8.5,6.1,45.400000000000006,7.3,19.700000000000003,8.4,2.2,8.1,263.7
2011,91803,7.6,8.6,6.0,40.900000000000006,8.3,14.7,9.6,0.0,9.0,162.5
2012,90001,10.6,8.0,12.4,40.8,9.3,29.9,7.6,16.5,9.8,198.00000000000003
2012,90002,10.0,8.5,10.8,43.0,9.0,19.5,6.5,15.2,8.8,326.79999999999995
2012,90003,14.2,11.8,14.7,58.699999999999996,12.1,37.5,8.9,25.1,11.2,159.59999999999997
2012,90004,12.6,11.2,13.1,56.1,11.2,54.6,10.7,21.4,13.9,204.5
2012,90005,11.0,8.1,13.8,48.3,8.8,34.9,10.5,13.1,9.2,322.20000000000005
2012,90006,13.3,8.9,15.7,66.6,10.8,44.0,11.4,21.6,13.0,312.2
2012,90007,13.1,12.8,12.5,33.4,12.2,49.0,13.0,23.6,12.9,199.8
2012,90008,13.9,12.3,13.5,94.5,12.0,26.3,18.1,14.0,13.3,219.0
2012,90010,8.2,2.3,14.6,36.2,8.8,19.1,5.4,0.0,14.6,177.6
2012,90011,9.7,7.9,10.7,47.0,7.9,22.900000000000002,13.6,21.2,8.7,236.8
