year,zip_code,median_income,median_income_male,median_income_female,median_income_age_below_24,median_income_age_between_25_44,median_income_age_above_45,median_income_white,median_income_black,median_income_hispanic,median_income_other_races
2011,91105,116687.0,111291.0,67356.5,110156.5,136500.0,113573.0,119365.0,34167.0,70350.0,98052.0
2011,91201,47850.0,51455.5,43258.5,48143.5,49033.0,38860.5,44754.0,62778.0,42566.0,56760.5
2011,91204,40050.0,41589.25,28095.25,38188.0,45129.0,31603.0,31574.5,42328.0,44723.0,53568.75
2011,91205,36741.0,31667.0,35632.25,42839.5,40895.0,31401.5,31060.0,42019.0,40022.0,40421.5
2011,91206,55364.0,71291.5,42541.25,54832.5,74795.0,50631.5,52372.0,53684.0,47420.0,62102.0
2011,91214,87249.0,56726.5,72920.5,73261.5,106815.0,71654.0,87710.0,55469.0,73250.0,78751.33333333333
2011,91302,126958.0,91688.25,70765.25,99881.0,120521.0,131233.0,124564.5,64216.0,126250.0,143109.33333333334
2011,91303,46599.0,43997.0,39594.25,43714.5,46182.0,42162.5,49813.5,44779.0,40847.0,59514.5
2011,91304,58423.0,47287.0,38850.75,41430.5,52773.0,58709.5,69825.5,39529.0,44120.0,50395.8
2011,91306,60506.0,53238.25,50308.5,50274.5,59206.0,55373.5,62182.0,60862.0,48971.0,56459.25
2011,91307,90785.0,85621.75,40688.25,108438.0,106063.0,82720.5,86748.5,75833.0,83409.0,121162.75
2011,91311,78646.0,67477.0,57204.0,54104.5,78405.0,75054.0,78660.5,65750.0,68131.0,95803.75
2011,91316,59522.0,55610.0,47922.25,65242.5,66770.0,55767.0,61879.5,54331.0,39683.0,41367.0
2011,91321,58130.0,57155.5,40765.75,54630.5,53899.0,57793.0,56106.5,61563.0,50823.0,66502.0
2011,91324,63369.0,39617.25,38518.75,45966.5,73357.0,63133.5,67588.0,52070.0,48843.0,51241.5
2011,91325,60033.0,56335.75,36167.75,45573.0,63316.0,64128.5,67842.5,50000.0,46331.0,55329.5
2011,91326,102602.0,67259.0,51558.25,73193.0,114917.0,93106.0,101733.0,96121.0,74167.0,87486.0
2011,91330,,,,,,,,,,
2011,91331,49842.0,30485.0,22526.75,39171.5,47289.0,45722.5,46074.5,42112.0,49698.0,57611.25
2011,91335,53842.0,48607.5,38338.75,42995.0,59967.0,47584.5,52598.0,48920.0,50459.0,72155.0
2011,91340,51428.0,47435.5,30524.75,49836.0,49273.0,50751.5,62156.0,33350.0,50540.0,63348.5
2011,91342,61648.0,47356.75,43003.25,51808.0,62942.0,55267.5,60986.5,65769.0,59639.0,77654.6
2011,91343,53417.0,42396.25,33416.0,36503.5,51928.0,52919.5,60770.0,57500.0,44077.0,67238.5
2011,91344,77642.0,62852.0,48624.25,61523.0,80720.0,71106.0,79132.5,88846.0,75410.0,79142.25
2011,91345,62518.0,64274.5,38617.0,59770.0,64773.0,55657.5,61762.5,91917.0,54000.0,68133.0
2011,91352,48632.0,41052.25,33532.75,41860.5,46508.0,46007.0,48269.5,26292.0,46258.0,66263.75
2011,91356,69875.0,51383.0,51123.25,59207.5,68649.0,71477.5,71583.5,87659.0,47338.0,70164.6
2011,91364,98206.0,84690.25,58683.5,93542.0,107308.0,86320.0,99505.5,67344.0,69922.0,84289.0
2011,91367,80291.0,83787.75,52530.5,85654.5,95440.0,66673.5,79507.5,84454.0,77904.0,83027.5
2011,91371,,,,,,,,,,
2011,91401,47776.0,50466.5,37941.5,39543.0,49219.0,45836.0,55904.0,42688.0,36586.0,49790.5
2011,91402,41467.0,36668.5,24781.5,34498.5,41903.0,38034.0,40425.5,26138.0,40512.0,44329.8
2011,91403,76727.0,67722.5,57165.0,72449.0,80071.0,75748.5,78083.5,53448.0,71771.0,71261.66666666667
2011,91405,37324.0,34567.5,26484.75,31284.0,40602.0,32524.0,44326.5,30000.0,34972.0,50233.0
2011,91406,50178.0,53722.5,37932.75,39689.0,52949.0,46400.5,53508.5,52083.0,43504.0,55900.0
2011,91411,43695.0,43340.75,38594.5,35048.5,52047.0,40642.0,52883.5,37458.0,36952.0,39333.25
2011,91423,73947.0,66248.75,64221.0,65426.0,80691.0,68503.5,73726.5,76500.0,60194.0,76271.75
2011,91436,138676.0,113586.0,63391.25,136936.0,145039.0,133868.0,139615.5,,81420.0,179892.33333333334
2011,91501,62051.0,62817.25,49458.75,73801.5,70394.0,48438.0,59361.0,45313.0,61829.0,66847.33333333333
2011,91504,71433.0,60267.5,51815.25,67787.0,74318.0,68940.5,73258.0,70785.0,56992.0,73121.66666666667
2011,91505,72924.0,70465.0,55168.5,60849.5,80741.0,61264.5,70263.0,52222.0,58173.0,77452.5
2011,91506,74444.0,74134.0,46119.25,71212.5,96046.0,58022.5,73409.5,99625.0,62860.0,78546.33333333333
2011,91601,49784.0,49814.25,42637.0,42362.5,54677.0,36090.5,51133.5,44818.0,42268.0,40591.8
2011,91602,65475.0,62197.25,53805.5,63467.5,70000.0,55231.5,66269.5,56667.0,62014.0,59523.0
2011,91604,86475.0,92269.75,74717.0,92967.0,99303.0,76901.0,85499.0,80147.0,80625.0,112627.25
2011,91605,42685.0,36380.5,38015.5,40956.5,42277.0,41979.5,42918.0,36500.0,40147.0,47129.75
2011,91606,42191.0,40013.75,33595.25,36828.5,44892.0,38771.0,43049.5,39643.0,37888.0,50843.2
2011,91607,59947.0,62939.0,47558.75,51825.0,63420.0,49276.5,60605.5,60802.0,60189.0,51676.333333333336
2011,91608,,,,,,,,,,
2011,91754,51164.0,42263.5,33157.25,59617.5,68413.0,44814.0,53937.5,45729.0,53305.0,66414.6
2011,91801,49996.0,45795.25,50377.25,36507.0,63782.0,40535.5,63581.5,50455.0,53010.0,47922.4
2011,91803,57480.0,54825.0,51200.25,38525.5,67471.0,50436.5,60887.5,75785.0,59038.0,60916.0
2012,90001,35658.0,36243.75,22770.75,29154.5,34431.0,33924.5,28243.0,28428.0,36875.0,34966.5
2012,90002,32299.0,20574.25,24366.0,26469.0,33204.0,30977.5,27622.0,22443.0,38335.0,38342.5
2012,90003,29174.0,24705.25,23651.5,23775.0,28351.0,30453.5,31644.5,22345.0,35146.0,32147.5
2012,90004,38430.0,37193.5,33425.5,30749.0,39116.0,37634.0,56423.0,28115.0,31575.0,34615.5
2012,90005,32086.0,33133.75,26157.25,26396.0,34042.0,25884.5,36145.5,36224.0,30357.0,39595.4
2012,90006,30260.0,27162.0,20955.5,29192.5,31709.0,24419.5,33675.0,21414.0,30285.0,29850.8
2012,90007,22047.0,19737.75,14994.0,17285.5,25975.0,25243.0,17067.5,17091.0,29845.0,27699.2
